0 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765 -1.1765
0 0 6.3492 12.698 19.048 25.397 31.746 38.095 44.444 50.794 57.143 63.492 69.841 76.19 82.54 88.889 95.238 101.59 107.94 114.29 120.63 126.98 133.33 139.68 146.03 152.38 158.73 165.08 171.43 177.78 184.13 190.48 196.83 203.17 209.52 215.87 222.22 228.57 234.92 241.27 247.62 253.97 260.32 266.67 273.02 279.37 285.71 292.06 298.41 304.76 311.11 317.46 323.81 330.16 336.51 342.86 349.21 355.56 361.9 368.25 374.6 380.95 387.3 393.65 400
0 -0.47827 -0.12025 -0.090805 -0.05564 0.014763 0.11046 0.27452 0.32 0.31694 0.29363 0.28775 0.29461 0.25608 0.16206 0.087449 -0.022437 -0.074312 -0.055108 -0.022245 0.059024 0.15743 0.042035 -0.09674 -0.22358 -0.3123 -0.23654 -0.15765 -0.20859 -0.23239 -0.29217 -0.34885 -0.28121 -0.31938 -0.294 -0.15614 -0.12481 -0.19201 -0.17317 -0.20761 -0.14803 -0.020288 -0.055952 -0.04129 -0.094474 -0.23726 -0.33269 -0.31941 -0.28261 -0.35566 -0.40013 -0.41667 -0.31163 -0.18988 -0.15476 0.02482 0.20097 0.31141 0.34385 0.30238 0.4149 0.52861 0.53497 0.60508 0.58287
0.5 -0.4735 -0.18746 -0.062634 -0.11826 -0.18354 -0.17613 -0.1924 -0.22235 -0.25465 -0.2467 -0.34964 -0.46835 -0.54179 -0.63511 -0.69155 -0.58267 -0.57668 -0.4572 -0.43466 -0.40502 -0.54752 -0.50178 -0.53909 -0.60186 -0.75174 -0.84171 -0.76071 -0.68897 -0.64018 -0.5186 -0.52021 -0.52958 -0.42953 -0.33015 -0.15193 0.042742 0.11216 0.078688 0.06113 0.026814 -0.004306 0.095668 0.17913 0.18476 0.17881 0.19051 0.15447 0.096303 0.18953 0.22609 0.17639 0.20683 0.32777 0.5547 0.72956 0.87965 0.93441 1.007 0.93954 0.88101 0.85028 0.80318 0.67779 0.72217
1 -0.22408 -0.28462 -0.28892 -0.27513 -0.38933 -0.49866 -0.64749 -0.66556 -0.71668 -0.79242 -0.87858 -0.97912 -1.119 -1.083 -0.97054 -0.87569 -0.77959 -0.79584 -0.7941 -0.88596 -0.83171 -0.84661 -0.76248 -0.71605 -0.65672 -0.72943 -0.83484 -0.7481 -0.61726 -0.5603 -0.45441 -0.43426 -0.32289 -0.12244 -0.043077 0.086161 0.2637 0.27295 0.25084 0.12799 0.1021 0.17575 0.1783 0.29964 0.43208 0.50321 0.51844 0.54566 0.5678 0.66241 0.71938 0.74214 0.85359 1.0081 1.1171 1.1537 1.2221 1.2528 1.3547 1.2392 1.069 0.95127 0.87158 0.86073
1.5 0.009648 -0.39294 -0.48135 -0.52226 -0.56258 -0.77494 -0.8176 -0.89855 -1.0075 -1.1103 -1.1268 -1.1661 -1.0721 -0.98382 -0.92975 -0.91846 -0.83309 -0.87843 -0.922 -0.98819 -0.9676 -0.8895 -0.74843 -0.5799 -0.45632 -0.46996 -0.49198 -0.51643 -0.50209 -0.41473 -0.31502 -0.17731 -0.032667 0.028817 0.076655 0.03202 0.005184 0.16061 0.18883 0.20659 0.15942 0.11055 0.25241 0.40106 0.57301 0.67108 0.75416 0.8319 0.87556 0.93109 1.1274 1.2003 1.2284 1.1986 1.1653 1.1737 1.195 1.2441 1.2615 1.2065 1.0842 0.97795 0.98011 0.89291
2 0.076566 -0.20001 -0.45707 -0.59777 -0.65789 -0.67226 -0.79986 -0.94734 -0.9569 -1.0139 -1.0469 -0.95712 -0.80292 -0.73383 -0.6784 -0.66374 -0.73341 -0.69292 -0.68947 -0.61634 -0.67562 -0.52983 -0.45719 -0.38429 -0.33526 -0.18153 -0.15306 -0.21063 -0.21998 -0.17425 -0.1035 0.032316 0.024125 -0.062125 -0.15484 -0.19499 -0.22773 -0.2716 -0.15863 0.031062 0.16255 0.28748 0.41948 0.55273 0.6274 0.67928 0.78903 0.88826 0.95285 1.0681 1.0996 1.2298 1.1872 1.0735 0.99035 1.0247 1.0277 0.94304 0.79807 0.79219 0.78373 0.76394 0.68181 0.6372
2.5 0.051631 -0.03224 -0.26719 -0.47735 -0.55623 -0.46957 -0.56269 -0.60214 -0.65669 -0.58951 -0.53016 -0.40627 -0.45414 -0.41879 -0.42498 -0.38601 -0.35319 -0.31271 -0.30186 -0.20477 -0.06604 -0.15665 -0.14501 -0.15538 -0.15246 -0.079677 -0.003052 0.050593 0.024908 -0.045222 -0.014474 -0.052849 -0.23993 -0.33008 -0.36979 -0.35109 -0.30436 -0.27777 -0.17997 -0.009987 0.24106 0.42349 0.50698 0.5161 0.53294 0.68585 0.73757 0.82428 0.95337 0.89685 0.89554 0.85632 0.81388 0.74713 0.70265 0.5579 0.49769 0.41898 0.32705 0.27007 0.2555 0.25607 0.22972 0.13356
3 0.089277 0.016813 -0.019037 -0.038153 -0.13196 -0.26348 -0.1456 -0.12102 -0.1532 -0.090897 0.039286 0.031609 0.003538 -0.078941 -0.057485 -0.006087 0.06543 0.080231 0.15574 0.14803 0.21589 0.18581 0.067095 0.007332 0.023731 -0.035586 0.069642 0.12714 0.14306 0.13475 -0.026731 -0.25773 -0.2278 -0.29387 -0.27582 -0.28672 -0.16963 0.024555 0.14692 0.19909 0.28701 0.35085 0.3226 0.30947 0.35525 0.4038 0.51976 0.54792 0.57388 0.65953 0.60978 0.50753 0.46347 0.48102 0.39217 0.2284 0.035211 -0.003435 0.002 -0.067317 -0.016767 -0.067836 -0.12715 -0.22713
3.5 0.27544 0.26196 0.34243 0.34915 0.31988 0.23361 0.23991 0.2802 0.39136 0.41654 0.42373 0.38146 0.47208 0.46538 0.44279 0.36634 0.34408 0.40113 0.52862 0.51093 0.37563 0.38717 0.29071 0.21707 0.20602 0.24109 0.17363 0.17203 0.20226 0.19831 0.091968 0.066579 0.052293 0.1087 0.075536 0.18038 0.18843 0.29067 0.33704 0.35487 0.27906 0.22529 0.19442 0.19034 0.19874 0.1482 0.1931 0.19736 0.11965 0.1626 0.17209 0.14683 0.19929 0.13768 0.032955 -0.002172 -0.14924 -0.28568 -0.26961 -0.22237 -0.32728 -0.37154 -0.50572 -0.4656
